symbol,roc1M,roc3M,roc6M,roc12M,volatility6M,volatility12M,sharpe6MRoC,sharpe6M,FIP6M,sharpe12MRoC,sharpe12M,FIP12M,Beta,Close,ema100d,BuyQty,Rank
IRFC.NS,-0.76,53.18,65.65,42.45,41.22,32.01,1.59,2.67,38,1.33,1.28,24,0.64,32.55,26.82,768.00,1
AXISBANK.NS,3.61,27.35,46.63,37.61,25.68,28.96,1.82,3.12,32,1.30,1.26,39,1.03,933.75,846.63,26.00,2
ADANIENT.NS,-1.52,11.65,76.11,125.71,33.27,37.16,2.29,3.59,31,3.38,2.41,52,1.36,3858.35,3533.71,6.00,3
UNIONBANK.NS,-1.53,80.07,134.74,85.25,52.50,47.79,2.57,3.53,30,1.78,1.54,19,1.27,80.40,63.21,310.00,4
JINDALSTEL.NS,8.37,35.46,76.34,53.90,36.05,45.50,2.12,3.35,29,1.18,1.19,35,1.36,580.60,488.27,43.00,5
GICRE.NS,20.01,45.38,55.16,26.95,45.93,42.60,1.20,2.15,27,0.63,0.78,7,0.99,178.75,140.01,139.00,6
PNB.NS,10.04,54.45,94.66,51.34,41.68,41.77,2.27,3.42,26,1.23,1.22,9,1.32,56.45,45.39,442.00,7
LICHSGFIN.NS,7.13,0.07,26.52,12.04,29.31,35.93,0.90,1.76,25,0.34,0.50,12,1.31,414.15,396.18,60.00,8
BHEL.NS,-5.38,32.22,76.20,34.35,39.83,42.74,1.91,3.06,24,0.80,0.91,22,1.33,79.20,70.81,315.00,9
CANBK.NS,5.91,45.70,83.89,66.69,37.94,41.58,2.21,3.42,21,1.60,1.45,19,1.54,333.30,280.90,75.00,10
AMBUJACEM.NS,-8.17,1.65,44.38,38.83,35.91,34.94,1.24,2.23,20,1.11,1.13,25,0.88,524.10,511.71,47.00,11
INDHOTEL.NS,-0.93,-3.93,41.53,76.29,28.88,34.93,1.44,2.56,20,2.18,1.82,19,0.97,318.65,308.79,78.00,12
VBL.NS,5.83,26.66,67.29,123.33,44.91,40.69,1.50,2.53,19,3.03,2.21,32,0.66,1322.55,1146.07,18.00,13
HAL.NS,-8.09,7.95,43.02,109.08,31.85,34.33,1.35,2.42,19,3.18,2.35,24,0.89,2531.25,2445.60,9.00,14
ATGL.NS,1.65,10.57,54.33,114.48,38.93,50.10,1.40,2.44,19,2.29,1.79,24,1.21,3692.85,3415.72,6.00,15
SBIN.NS,1.87,15.66,31.72,33.28,22.31,26.17,1.42,2.59,19,1.27,1.24,23,1.05,613.70,571.97,40.00,16
FEDERALBNK.NS,5.78,17.09,54.16,67.53,30.95,33.42,1.75,2.97,18,2.02,1.73,14,1.19,139.05,125.71,179.00,17
INDIANB.NS,6.91,44.96,90.42,104.41,40.17,41.83,2.25,3.43,18,2.50,1.94,21,1.22,285.35,241.55,87.00,18
BANKBARODA.NS,11.70,40.26,90.66,126.60,36.63,40.23,2.48,3.73,17,3.15,2.26,13,1.28,185.70,153.83,134.00,19
CUMMINSIND.NS,-2.34,15.43,34.78,46.57,27.62,27.47,1.26,2.31,17,1.70,1.55,8,0.77,1380.40,1309.57,18.00,20
ABCAPITAL.NS,3.34,34.35,68.01,21.23,28.80,34.86,2.36,3.77,17,0.61,0.73,12,1.31,150.20,129.33,166.00,21
BANKINDIA.NS,7.23,83.09,98.99,71.69,45.25,42.83,2.19,3.28,17,1.67,1.49,5,1.25,88.25,69.71,283.00,22
INDUSINDBK.NS,4.48,2.94,53.60,37.38,31.42,34.89,1.71,2.90,17,1.07,1.10,6,1.35,1220.10,1141.70,20.00,23
TVSMOTOR.NS,3.55,5.15,28.92,73.11,29.41,30.41,0.98,1.88,15,2.40,1.98,32,0.92,1085.40,1021.24,23.00,24
BHARTIARTL.NS,-5.03,0.78,17.69,17.89,20.81,23.45,0.85,1.68,15,0.76,0.83,16,0.74,806.10,794.65,31.00,25
SOLARINDS.NS,13.07,11.94,59.71,81.06,32.83,33.83,1.82,3.03,15,2.40,1.95,11,0.49,4384.55,3774.51,5.00,26
BRITANNIA.NS,-1.26,12.08,24.26,19.45,22.59,23.70,1.07,2.04,15,0.82,0.88,28,0.55,4307.45,4038.22,5.00,27
ITC.NS,-2.49,-0.20,21.22,52.05,18.56,21.38,1.14,2.18,14,2.43,2.10,31,0.62,331.55,329.58,75.00,28
IDFCFIRSTB.NS,0.34,17.95,86.96,21.61,37.88,38.75,2.30,3.51,14,0.56,0.70,-13,1.44,58.80,53.58,425.00,29
COALINDIA.NS,-0.97,6.03,21.26,54.09,24.46,35.27,0.87,1.71,13,1.53,1.42,21,0.81,225.05,225.04,111.00,30
